NODE,R,Disp,aa,Angle,Z
2149,276,1.2270784442015459,149.06,329.06,0
2150,276,1.089386476810056,151.87,331.87,0
2151,276,0.9536607925852708,154.69,334.69,0
2152,276,0.8217995750070292,157.5,337.5,0
2153,276,0.6942494463207857,160.31,340.31,0
2154,276,0.5719432281573469,163.12,343.12,0
2155,276,0.4554126121583074,165.94,345.94,0
2156,276,0.3464196465678631,168.75,348.75,0
2157,276,0.24547237604257635,171.56,351.56,0
2158,276,0.15350362221325403,174.37,354.37,0
2159,276,0.07117299849658132,177.19,357.19,0
2144,276,-1.0408340855860843e-17,180.0,360.0,0
