shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W16X36,10.6,15.9,0.295,6.99,0.43,0.832,448,56.5,6.51,64,24.5,7,1.52,10.8,1.83,15.4,0.545,1460
W16X31,9.13,15.9,0.275,5.53,0.44,0.842,375,47.2,6.41,54,12.4,4.49,1.17,7.03,1.42,15.4,0.461,739
W16X26,7.68,15.7,0.25,5.5,0.345,0.747,301,38.4,6.26,44.2,9.59,3.49,1.12,5.48,1.38,15.3,0.262,565
W14X730,215,22.4,3.07,17.9,4.91,5.51,14300,1280,8.17,1660,4720,527,4.69,816,5.68,17.5,1450,362000
W14X665,196,21.6,2.83,17.7,4.52,5.12,12400,1150,7.98,1480,4170,472,4.62,730,5.57,17.1,1120,305000
W14X605,178,20.9,2.6,17.4,4.16,4.76,10800,1040,7.8,1320,3680,423,4.55,652,5.46,16.8,869,258000
W14X550,162,20.2,2.38,17.2,3.82,4.42,9430,931,7.63,1180,3250,378,4.49,583,5.36,16.4,669,219000
W14X500,147,19.6,2.19,17,3.5,4.1,8210,838,7.48,1050,2880,339,4.43,522,5.26,16.1,514,187000
W14X455,134,19,2.02,16.8,3.21,3.81,7190,756,7.33,936,2560,304,4.38,468,5.17,15.8,395,160000
W14X426,125,18.7,1.88,16.7,3.04,3.63,6600,706,7.26,869,2360,283,4.34,434,5.11,15.6,331,144000
W14X398,117,18.3,1.77,16.6,2.85,3.44,6000,656,7.16,801,2170,262,4.31,402,5.06,15.4,273,129000
W14X370,109,17.9,1.66,16.5,2.66,3.26,5440,607,7.07,736,1990,241,4.27,370,5,15.3,222,116000
W14X342,101,17.5,1.54,16.4,2.47,3.07,4900,558,6.98,672,1810,221,4.24,338,4.94,15.1,178,103000
W14X311,91.4,17.1,1.41,16.2,2.26,2.86,4330,506,6.88,603,1610,199,4.2,304,4.87,14.9,136,89100
W14X283,83.3,16.7,1.29,16.1,2.07,2.67,3840,459,6.79,542,1440,179,4.17,274,4.81,14.7,104,77700
W14X257,75.6,16.4,1.18,16,1.89,2.49,3400,415,6.71,487,1290,161,4.13,246,4.75,14.5,79.1,67800
W14X233,68.5,16,1.07,15.9,1.72,2.32,3010,375,6.63,436,1150,145,4.1,221,4.69,14.3,59.5,59000
W14X211,62,15.7,0.98,15.8,1.56,2.16,2660,338,6.55,390,1030,130,4.07,198,4.64,14.2,44.6,51500
W14X193,56.8,15.5,0.89,15.7,1.44,2.04,2400,310,6.5,355,931,119,4.05,180,4.59,14,34.8,45900
W14X176,51.8,15.2,0.83,15.7,1.31,1.91,2140,281,6.43,320,838,107,4.02,163,4.55,13.9,26.5,40500
W14X159,46.7,15,0.745,15.6,1.19,1.79,1900,254,6.38,287,748,96.2,4,146,4.51,13.8,19.7,35600
W14X145,42.7,14.8,0.68,15.5,1.09,1.69,1710,232,6.33,260,677,87.3,3.98,133,4.47,13.7,15.2,31700
W14X132,38.8,14.7,0.645,14.7,1.03,1.63,1530,209,6.28,234,548,74.5,3.76,113,4.23,13.6,12.3,25500
W14X120,35.3,14.5,0.59,14.7,0.94,1.54,1380,190,6.24,212,495,67.5,3.74,102,4.2,13.5,9.37,22700
W14X109,32,14.3,0.525,14.6,0.86,1.46,1240,173,6.22,192,447,61.2,3.73,92.7,4.17,13.5,7.12,20200
W14X99,29.1,14.2,0.485,14.6,0.78,1.38,1110,157,6.17,173,402,55.2,3.71,83.6,4.14,13.4,5.37,18000
W14X90,26.5,14,0.44,14.5,0.71,1.31,999,143,6.14,157,362,49.9,3.7,75.6,4.11,13.3,4.06,16000
W14X82,24,14.3,0.51,10.1,0.855,1.45,881,123,6.05,139,148,29.3,2.48,44.8,2.85,13.5,5.07,6710
W14X74,21.8,14.2,0.45,10.1,0.785,1.38,795,112,6.04,126,134,26.6,2.48,40.5,2.82,13.4,3.87,5990
W14X68,20,14,0.415,10,0.72,1.31,722,103,6.01,115,121,24.2,2.46,36.9,2.8,13.3,3.01,5380
W14X61,17.9,13.9,0.375,10,0.645,1.24,640,92.1,5.98,102,107,21.5,2.45,32.8,2.78,13.2,2.19,4710
W14X53,15.6,13.9,0.37,8.06,0.66,1.25,541,77.8,5.89,87.1,57.7,14.3,1.92,22,2.22,13.3,1.94,25.4
W14X48,14.1,13.8,0.34,8.03,0.595,1.19,484,70.2,5.85,78.4,51.4,12.8,1.91,19.6,2.2,13.2,1.45,2240
W14X43,12.6,13.7,0.305,8,0.53,1.12,428,62.6,5.82,69.6,45.2,11.3,1.89,17.3,2.18,13.1,1.05,1950
W14X38,11.2,14.1,0.31,6.77,0.515,0.915,385,54.6,5.87,61.5,26.7,7.88,1.55,12.1,1.82,13.6,0.798,1230
W14X34,10,14,0.285,6.75,0.455,0.855,340,48.6,5.83,54.6,23.3,6.91,1.53,10.6,1.8,13.5,0.569,1070
W14X30,8.85,13.8,0.27,6.73,0.385,0.785,281,42,5.73,47.3,19.6,5.82,1.49,8.99,1.77,13.5,0.38,887
W14X26,7.69,13.9,0.255,5.03,0.42,0.82,245,35.3,5.65,40.2,8.91,3.55,1.08,5.54,1.31,13.5,0.358,405
W14X22,6.49,13.7,0.23,5,0.335,0.735,199,29,5.54,33.2,7,2.8,1.04,4.39,1.27,13.4,0.208,314
W12X336,98.8,16.8,1.78,13.4,2.96,3.55,4060,483,6.41,603,1190,177,3.47,274,4.13,13.9,243,57000
W12X305,89.6,16.3,1.63,13.2,2.71,3.3,3550,435,6.29,537,1050,159,3.42,244,4.05,13.6,185,48600
W12X279,81.9,15.9,1.53,13.1,2.47,3.07,3110,393,6.16,481,937,143,3.38,220,4,13.4,143,42000
W12X252,74,15.4,1.4,13,2.25,2.85,2720,353,6.06,428,828,127,3.34,196,3.93,13.2,108,35800
W12X230,67.7,15.1,1.29,12.9,2.07,2.67,2420,321,5.97,386,742,115,3.31,177,3.87,13,83.8,31200
W12X210,61.8,14.7,1.18,12.8,1.9,2.5,2140,292,5.89,348,664,104,3.28,159,3.82,12.8,64.7,27200
W12X190,55.8,14.4,1.06,12.7,1.74,2.33,1890,263,5.82,311,589,93,3.25,143,3.76,12.6,48.8,23600
W12X170,50,14,0.96,12.6,1.56,2.16,1650,235,5.74,275,517,82.3,3.22,126,3.71,12.5,35.6,20100
